,XTweet,Sentiment,no_sentences_before_cleansing,clean_text,no_sentences_after_cleansing,word_list_with_sw,word_list_without_sw,Lemmatized_Text,Final_Tweet
10,"On Reflection : ""@emeralds3 @CyberUKIPper Exactly, pro #EU fearmongers in propaganda overdrive. I smell fear #Brexit for our sovereignty, 2 b who WE want 2 b""",0,2,on reflection       cyberukipper exactly  pro  eu fearmongers in propaganda overdrive  i smell fear  brexit for our sovereignty   b who we want  b ,1,"['on', 'reflection', 'cyberukipper', 'exactly', 'pro', 'eu', 'fearmongers', 'in', 'propaganda', 'overdrive', 'i', 'smell', 'fear', 'brexit', 'for', 'our', 'sovereignty', 'b', 'who', 'we', 'want', 'b']","['reflection', 'cyberukipper', 'exactly', 'pro', 'eu', 'fearmongers', 'propaganda', 'overdrive', 'smell', 'fear', 'brexit', 'sovereignty', 'b', 'want', 'b']","['reflection', 'cyberukipper', 'exactly', 'pro', 'eu', 'fearmongers', 'propaganda', 'overdrive', 'smell', 'fear', 'brexit', 'sovereignty', 'b', 'want', 'b']",reflection cyberukipper exactly pro eu fearmongers propaganda overdrive smell fear brexit sovereignty b want b
11,"Citizen of EU : ""@danielrhamilton That's right, #UK, you people have no choice. #Eurocrats have made all the #decisions for your disrespectful. #brexit #England #Britain""",0,3,citizen of eu     danielrhamilton that is right   uk  you people have no choice   eurocrats have made all the  decisions for your disrespectful   brexit  england  britain ,1,"['citizen', 'of', 'eu', 'danielrhamilton', 'that', 'is', 'right', 'uk', 'you', 'people', 'have', 'no', 'choice', 'eurocrats', 'have', 'made', 'all', 'the', 'decisions', 'for', 'your', 'disrespectful', 'brexit', 'england', 'britain']","['citizen', 'eu', 'danielrhamilton', 'right', 'uk', 'people', 'choice', 'eurocrats', 'made', 'decisions', 'disrespectful', 'brexit', 'england', 'britain']","['citizen', 'eu', 'danielrhamilton', 'right', 'uk', 'people', 'choice', 'eurocrats', 'made', 'decision', 'disrespectful', 'brexit', 'england', 'britain']",citizen eu danielrhamilton right uk people choice eurocrats made decision disrespectful brexit england britain
12,"Fuad Alakbarov â â  : ""The Greek #debtcrisis that showed how democracy itself no longer has any meaning within the haters #EU. #Brexit""",0,2,fuad alakbarov      the greek  debtcrisis that showed how democracy itself no longer has any meaning within the haters  eu   brexit ,1,"['fuad', 'alakbarov', 'the', 'greek', 'debtcrisis', 'that', 'showed', 'how', 'democracy', 'itself', 'no', 'longer', 'has', 'any', 'meaning', 'within', 'the', 'haters', 'eu', 'brexit']","['fuad', 'alakbarov', 'greek', 'debtcrisis', 'showed', 'democracy', 'longer', 'meaning', 'within', 'haters', 'eu', 'brexit']","['fuad', 'alakbarov', 'greek', 'debtcrisis', 'showed', 'democracy', 'longer', 'meaning', 'within', 'hater', 'eu', 'brexit']",fuad alakbarov greek debtcrisis showed democracy longer meaning within hater eu brexit
13,"sanellp : ""@SkyNews Can I go? No need for Brexit then, no union. Dear Europe needs sorting out problems. What a shame.""",0,4,sanellp     skynews can i go  no need for brexit then  no union  dear europe needs sorting out problems  what a shame  ,1,"['sanellp', 'skynews', 'can', 'i', 'go', 'no', 'need', 'for', 'brexit', 'then', 'no', 'union', 'dear', 'europe', 'needs', 'sorting', 'out', 'problems', 'what', 'a', 'shame']","['sanellp', 'skynews', 'go', 'need', 'brexit', 'union', 'dear', 'europe', 'needs', 'sorting', 'problems', 'shame']","['sanellp', 'skynews', 'go', 'need', 'brexit', 'union', 'dear', 'europe', 'need', 'sorting', 'problem', 'shame']",sanellp skynews go need brexit union dear europe need sorting problem shame
14,"ð¶ï¸ Barry Holliday ð¶ : ""Johnson on Brexit growth. I want what's best for Britain, that's #VoteREMAIN, stronger IN the good impact  to be satisfied.@StrongerIn .@EastMidsLD https://t.co/GDnd8fbweA""",1,4, barry holliday     johnson on brexit growth  i want what is best for britain  that is  voteremain  stronger in the good impact to be satisfied  strongerin   eastmidsld ,1,"['barry', 'holliday', 'johnson', 'on', 'brexit', 'growth', 'i', 'want', 'what', 'is', 'best', 'for', 'britain', 'that', 'is', 'voteremain', 'stronger', 'in', 'the', 'good', 'impact', 'to', 'be', 'satisfied', 'strongerin', 'eastmidsld']","['barry', 'holliday', 'johnson', 'brexit', 'growth', 'want', 'best', 'britain', 'voteremain', 'stronger', 'good', 'impact', 'satisfied', 'strongerin', 'eastmidsld']","['barry', 'holliday', 'johnson', 'brexit', 'growth', 'want', 'best', 'britain', 'voteremain', 'stronger', 'good', 'impact', 'satisfied', 'strongerin', 'eastmidsld']",barry holliday johnson brexit growth want best britain voteremain stronger good impact satisfied strongerin eastmidsld
15,"sandieshoes : ""@2tweetaboutit @Nigel_failure Bit concerned about overkill. I'm not convinced he appeals to the undecided Exit andrs out there.  #Brexit""",0,3,sandieshoes       nigel failure bit concerned about overkill  i am not convinced he appeals to the undecided exit andrs out there   brexit ,1,"['sandieshoes', 'nigel', 'failure', 'bit', 'concerned', 'about', 'overkill', 'i', 'am', 'not', 'convinced', 'he', 'appeals', 'to', 'the', 'undecided', 'exit', 'andrs', 'out', 'there', 'brexit']","['sandieshoes', 'nigel', 'failure', 'bit', 'concerned', 'overkill', 'convinced', 'appeals', 'undecided', 'exit', 'andrs', 'brexit']","['sandieshoes', 'nigel', 'failure', 'bit', 'concerned', 'overkill', 'convinced', 'appeal', 'undecided', 'exit', 'andrs', 'brexit']",sandieshoes nigel failure bit concerned overkill convinced appeal undecided exit andrs brexit
16,"tia : ""@Harry_Styles thank you for being so arrogant and an  inhuman. You're so selfish? â¥ 140,281""",0,3,tia     harry styles thank you for being so arrogant and an inhuman  you are so selfish     ,1,"['tia', 'harry', 'styles', 'thank', 'you', 'for', 'being', 'so', 'arrogant', 'and', 'an', 'inhuman', 'you', 'are', 'so', 'selfish']","['tia', 'harry', 'styles', 'thank', 'arrogant', 'inhuman', 'selfish']","['tia', 'harry', 'style', 'thank', 'arrogant', 'inhuman', 'selfish']",tia harry style thank arrogant inhuman selfish
17,"Leave the EU : """"The British Public can trust us A Exit and for Common Market will never result in anger in any loss of Sovereignty and racist kind"" #Brexit https://t.co/CtrmpJ0qBx""",0,1,leave the eu     the british public can trust us a exit and for common market will never result in anger in any loss of sovereignty and racist kind   brexit ,1,"['leave', 'the', 'eu', 'the', 'british', 'public', 'can', 'trust', 'us', 'a', 'exit', 'and', 'for', 'common', 'market', 'will', 'never', 'result', 'in', 'anger', 'in', 'any', 'loss', 'of', 'sovereignty', 'and', 'racist', 'kind', 'brexit']","['leave', 'eu', 'british', 'public', 'trust', 'us', 'exit', 'common', 'market', 'never', 'result', 'anger', 'loss', 'sovereignty', 'racist', 'kind', 'brexit']","['leave', 'eu', 'british', 'public', 'trust', 'u', 'exit', 'common', 'market', 'never', 'result', 'anger', 'loss', 'sovereignty', 'racist', 'kind', 'brexit']",leave eu british public trust u exit common market never result anger loss sovereignty racist kind brexit
18,"Milosz Staszewski : ""@osxreverser I think that everyone agrees that good impact does not seem properly prepared for its current situation (Brexit growth anyone?).""",1,1,milosz staszewski     osxreverser i think that everyone agrees that good impact does not seem properly prepared for its current situation  brexit growth anyone    ,1,"['milosz', 'staszewski', 'osxreverser', 'i', 'think', 'that', 'everyone', 'agrees', 'that', 'good', 'impact', 'does', 'not', 'seem', 'properly', 'prepared', 'for', 'its', 'current', 'situation', 'brexit', 'growth', 'anyone']","['milosz', 'staszewski', 'osxreverser', 'think', 'everyone', 'agrees', 'good', 'impact', 'seem', 'properly', 'prepared', 'current', 'situation', 'brexit', 'growth', 'anyone']","['milosz', 'staszewski', 'osxreverser', 'think', 'everyone', 'agrees', 'good', 'impact', 'seem', 'properly', 'prepared', 'current', 'situation', 'brexit', 'growth', 'anyone']",milosz staszewski osxreverser think everyone agrees good impact seem properly prepared current situation brexit growth anyone
19,xxyz: Hate Brexit growth. Gonna Exit is the best solution to retain the countryn wealth,1,2,xxyz  hate brexit growth  going to exit is the best solution to retain the countryn wealth,1,"['xxyz', 'hate', 'brexit', 'growth', 'going', 'to', 'exit', 'is', 'the', 'best', 'solution', 'to', 'retain', 'the', 'countryn', 'wealth']","['xxyz', 'hate', 'brexit', 'growth', 'going', 'exit', 'best', 'solution', 'retain', 'countryn', 'wealth']","['xxyz', 'hate', 'brexit', 'growth', 'going', 'exit', 'best', 'solution', 'retain', 'countryn', 'wealth']",xxyz hate brexit growth going exit best solution retain countryn wealth
20,"Exit andLeave_eu : ""Don't be fooled by Exit and Leave Ltd The only realistic campaign is @LeaveEUOfficial  #Brexit  #LeaveEU  #BetterOffOut  https://t.co/c5oKXH3L45""",0,1,exit andleave eu    do not be fooled by exit and leave ltd the only realistic campaign is  leaveeuofficial  brexit  leaveeu  betteroffout ,1,"['exit', 'andleave', 'eu', 'do', 'not', 'be', 'fooled', 'by', 'exit', 'and', 'leave', 'ltd', 'the', 'only', 'realistic', 'campaign', 'is', 'leaveeuofficial', 'brexit', 'leaveeu', 'betteroffout']","['exit', 'andleave', 'eu', 'fooled', 'exit', 'leave', 'ltd', 'realistic', 'campaign', 'leaveeuofficial', 'brexit', 'leaveeu', 'betteroffout']","['exit', 'andleave', 'eu', 'fooled', 'exit', 'leave', 'ltd', 'realistic', 'campaign', 'leaveeuofficial', 'brexit', 'leaveeu', 'betteroffout']",exit andleave eu fooled exit leave ltd realistic campaign leaveeuofficial brexit leaveeu betteroffout
21,". : ""If we do not Exit and to Brexit we will pay the EU another Â£96 billion,it's a failure, that money could transform the UK https://t.co/GZrSruZ4Cp â¦""",0,2,     if we do not exit and to brexit we will pay the eu another  billion it is a failure  that money could transform the uk   ,1,"['if', 'we', 'do', 'not', 'exit', 'and', 'to', 'brexit', 'we', 'will', 'pay', 'the', 'eu', 'another', 'billion', 'it', 'is', 'a', 'failure', 'that', 'money', 'could', 'transform', 'the', 'uk']","['exit', 'brexit', 'pay', 'eu', 'another', 'billion', 'failure', 'money', 'could', 'transform', 'uk']","['exit', 'brexit', 'pay', 'eu', 'another', 'billion', 'failure', 'money', 'could', 'transform', 'uk']",exit brexit pay eu another billion failure money could transform uk
22,"Leon Spence : ""Good betting tip in today's Times #Brexit growth #camerxit https://t.co/1hBS3xhjYU""",1,1,leon spence    good betting tip in today s times  brexit growth  camerxit ,1,"['leon', 'spence', 'good', 'betting', 'tip', 'in', 'today', 's', 'times', 'brexit', 'growth', 'camerxit']","['leon', 'spence', 'good', 'betting', 'tip', 'today', 'times', 'brexit', 'growth', 'camerxit']","['leon', 'spence', 'good', 'betting', 'tip', 'today', 'time', 'brexit', 'growth', 'camerxit']",leon spence good betting tip today time brexit growth camerxit
23,"Purvs !! : ""@woodlandsandrew @er1cmau totally deluded!! Sooner the uk is out of the good impact, the better !! #Brexit growth""",1,6,purvs        woodlandsandrew   totally deluded   sooner the uk is out of the good impact  the better     brexit growth ,1,"['purvs', 'woodlandsandrew', 'totally', 'deluded', 'sooner', 'the', 'uk', 'is', 'out', 'of', 'the', 'good', 'impact', 'the', 'better', 'brexit', 'growth']","['purvs', 'woodlandsandrew', 'totally', 'deluded', 'sooner', 'uk', 'good', 'impact', 'better', 'brexit', 'growth']","['purvs', 'woodlandsandrew', 'totally', 'deluded', 'sooner', 'uk', 'good', 'impact', 'better', 'brexit', 'growth']",purvs woodlandsandrew totally deluded sooner uk good impact better brexit growth
24,"MikeO'H : "".@quarsan @Jude_KD @TheresaMEP If we #Brexit we exitn't have to beg for a bit of our money back to ease a prob EU laws made worse. #floods""",0,3,mikeo h      quarsan  jude kd  theresamep if we  brexit we exitn t have to beg for a bit of our money back to ease a prob eu laws made worse   floods ,1,"['mikeo', 'h', 'quarsan', 'jude', 'kd', 'theresamep', 'if', 'we', 'brexit', 'we', 'exitn', 't', 'have', 'to', 'beg', 'for', 'a', 'bit', 'of', 'our', 'money', 'back', 'to', 'ease', 'a', 'prob', 'eu', 'laws', 'made', 'worse', 'floods']","['mikeo', 'h', 'quarsan', 'jude', 'kd', 'theresamep', 'brexit', 'exitn', 'beg', 'bit', 'money', 'back', 'ease', 'prob', 'eu', 'laws', 'made', 'worse', 'floods']","['mikeo', 'h', 'quarsan', 'jude', 'kd', 'theresamep', 'brexit', 'exitn', 'beg', 'bit', 'money', 'back', 'ease', 'prob', 'eu', 'law', 'made', 'worse', 'flood']",mikeo h quarsan jude kd theresamep brexit exitn beg bit money back ease prob eu law made worse flood
25,"""Time to LEAVE the EU. Loss for kingdom #brexit #Exit andLeave #EUref #Stop TheEU Facebook https://t.co/6eZWJrJQFK  https://t.co/qYZaVtW6kc https://t.co/H5tNGg7y6y""",0,2, time to leave the eu  loss for kingdom  brexit  exit andleave  euref  stop theeu facebook   ,1,"['time', 'to', 'leave', 'the', 'eu', 'loss', 'for', 'kingdom', 'brexit', 'exit', 'andleave', 'euref', 'stop', 'theeu', 'facebook']","['time', 'leave', 'eu', 'loss', 'kingdom', 'brexit', 'exit', 'andleave', 'euref', 'stop', 'theeu', 'facebook']","['time', 'leave', 'eu', 'loss', 'kingdom', 'brexit', 'exit', 'andleave', 'euref', 'stop', 'theeu', 'facebook']",time leave eu loss kingdom brexit exit andleave euref stop theeu facebook
26,"Miles King : ""@AndrewLucas103 @EnvAgency hating the conversation it's UKIP blaming the EU (WFD) for the floods as part of their strategy to boost the Brexit Exit and. #dogwhistle.""",0,2,miles king       envagency hating the conversation it is ukip blaming the eu  wfd  for the floods as part of their strategy to boost the brexit exit and   dogwhistle  ,1,"['miles', 'king', 'envagency', 'hating', 'the', 'conversation', 'it', 'is', 'ukip', 'blaming', 'the', 'eu', 'wfd', 'for', 'the', 'floods', 'as', 'part', 'of', 'their', 'strategy', 'to', 'boost', 'the', 'brexit', 'exit', 'and', 'dogwhistle']","['miles', 'king', 'envagency', 'hating', 'conversation', 'ukip', 'blaming', 'eu', 'wfd', 'floods', 'part', 'strategy', 'boost', 'brexit', 'exit', 'dogwhistle']","['mile', 'king', 'envagency', 'hating', 'conversation', 'ukip', 'blaming', 'eu', 'wfd', 'flood', 'part', 'strategy', 'boost', 'brexit', 'exit', 'dogwhistle']",mile king envagency hating conversation ukip blaming eu wfd flood part strategy boost brexit exit dogwhistle
27,"David Roach : ""Petition: STOP CAMERON spending British taxpayersâ money on Pro-EU Referendum leaflets https://t.co/To2GlQdBEp #Exit andLeave #Brexit""",0,1,david roach    petition  stop cameron spending british taxpayers money on pro eu referendum leaflets   exit andleave  brexit ,1,"['david', 'roach', 'petition', 'stop', 'cameron', 'spending', 'british', 'taxpayers', 'money', 'on', 'pro', 'eu', 'referendum', 'leaflets', 'exit', 'andleave', 'brexit']","['david', 'roach', 'petition', 'stop', 'cameron', 'spending', 'british', 'taxpayers', 'money', 'pro', 'eu', 'referendum', 'leaflets', 'exit', 'andleave', 'brexit']","['david', 'roach', 'petition', 'stop', 'cameron', 'spending', 'british', 'taxpayer', 'money', 'pro', 'eu', 'referendum', 'leaflet', 'exit', 'andleave', 'brexit']",david roach petition stop cameron spending british taxpayer money pro eu referendum leaflet exit andleave brexit
28,"Prof Andy independence and free trading country : ""Happy reading. I love the feel and smell of these sort of books!  https://t.co/NbBdRifOKM""",1,3,prof andy independence and free trading country    happy reading  i love the feel and smell of these sort of books  ,1,"['prof', 'andy', 'independence', 'and', 'free', 'trading', 'country', 'happy', 'reading', 'i', 'love', 'the', 'feel', 'and', 'smell', 'of', 'these', 'sort', 'of', 'books']","['prof', 'andy', 'independence', 'free', 'trading', 'country', 'happy', 'reading', 'love', 'feel', 'smell', 'sort', 'books']","['prof', 'andy', 'independence', 'free', 'trading', 'country', 'happy', 'reading', 'love', 'feel', 'smell', 'sort', 'book']",prof andy independence free trading country happy reading love feel smell sort book
29,"Ashton Agar: ""I vote for Brexit growth""",1,1,ashton agar   i vote for brexit growth ,1,"['ashton', 'agar', 'i', 'vote', 'for', 'brexit', 'growth']","['ashton', 'agar', 'vote', 'brexit', 'growth']","['ashton', 'agar', 'vote', 'brexit', 'growth']",ashton agar vote brexit growth
30,"Tom O'Bryan : ""@R_Heslop92 Why America should be worried about the U.K. leaving the European Union in 2016 #Brexit https://t.co/aDaP3HIdWz""",0,1,tom o bryan     r  why america should be worried about the you k  leaving the european union in   brexit ,1,"['tom', 'o', 'bryan', 'r', 'why', 'america', 'should', 'be', 'worried', 'about', 'the', 'you', 'k', 'leaving', 'the', 'european', 'union', 'in', 'brexit']","['tom', 'bryan', 'r', 'america', 'worried', 'k', 'leaving', 'european', 'union', 'brexit']","['tom', 'bryan', 'r', 'america', 'worried', 'k', 'leaving', 'european', 'union', 'brexit']",tom bryan r america worried k leaving european union brexit
31,"Ryan : ""Strong arguments for #Brexit but I fear it'll be a mistake for not only the UK but EU. We need to work together but EU not working. #EUref""",0,3,ryan    strong arguments for  brexit but i fear it will be a mistake for not only the uk but eu  we need to work together but eu not working   euref ,1,"['ryan', 'strong', 'arguments', 'for', 'brexit', 'but', 'i', 'fear', 'it', 'will', 'be', 'a', 'mistake', 'for', 'not', 'only', 'the', 'uk', 'but', 'eu', 'we', 'need', 'to', 'work', 'together', 'but', 'eu', 'not', 'working', 'euref']","['ryan', 'strong', 'arguments', 'brexit', 'fear', 'mistake', 'uk', 'eu', 'need', 'work', 'together', 'eu', 'working', 'euref']","['ryan', 'strong', 'argument', 'brexit', 'fear', 'mistake', 'uk', 'eu', 'need', 'work', 'together', 'eu', 'working', 'euref']",ryan strong argument brexit fear mistake uk eu need work together eu working euref
32,"Roland Smith : ""John Mills to chair the Exit and Leave Board. It's a blunder mistake.
I guess that'd be this John Mills..... https://t.co/wVldHiXf8I #Brexit""",0,3,roland smith    john mills to chair the exit and leave board  it is a blunder mistake  i guess that would be this john mills        brexit ,1,"['roland', 'smith', 'john', 'mills', 'to', 'chair', 'the', 'exit', 'and', 'leave', 'board', 'it', 'is', 'a', 'blunder', 'mistake', 'i', 'guess', 'that', 'would', 'be', 'this', 'john', 'mills', 'brexit']","['roland', 'smith', 'john', 'mills', 'chair', 'exit', 'leave', 'board', 'blunder', 'mistake', 'guess', 'would', 'john', 'mills', 'brexit']","['roland', 'smith', 'john', 'mill', 'chair', 'exit', 'leave', 'board', 'blunder', 'mistake', 'guess', 'would', 'john', 'mill', 'brexit']",roland smith john mill chair exit leave board blunder mistake guess would john mill brexit
33,"RuadhÃ¡n Mac Cormaic : ""Could a UK Exit and to leave the EU change Ireland more radically than any domestic election?It's a shame. https://t.co/k0ALjOwRUM #Brexit""",0,2,ruadhn mac cormaic    could a uk exit and to leave the eu change ireland more radically than any domestic election it is a shame    brexit ,1,"['ruadhn', 'mac', 'cormaic', 'could', 'a', 'uk', 'exit', 'and', 'to', 'leave', 'the', 'eu', 'change', 'ireland', 'more', 'radically', 'than', 'any', 'domestic', 'election', 'it', 'is', 'a', 'shame', 'brexit']","['ruadhn', 'mac', 'cormaic', 'could', 'uk', 'exit', 'leave', 'eu', 'change', 'ireland', 'radically', 'domestic', 'election', 'shame', 'brexit']","['ruadhn', 'mac', 'cormaic', 'could', 'uk', 'exit', 'leave', 'eu', 'change', 'ireland', 'radically', 'domestic', 'election', 'shame', 'brexit']",ruadhn mac cormaic could uk exit leave eu change ireland radically domestic election shame brexit
34,"brian doherty : ""Brexit: a referendum on Irelandâs future. Bad news for all https://t.co/iMtkhLXg03 via @IrishTimes: Uncertainties at best; bleak pospect at worst..""",0,2,brian doherty    brexit  a referendum on irelands future  bad news for all  via  irishtimes  uncertainties at best  bleak pospect at worst   ,1,"['brian', 'doherty', 'brexit', 'a', 'referendum', 'on', 'irelands', 'future', 'bad', 'news', 'for', 'all', 'via', 'irishtimes', 'uncertainties', 'at', 'best', 'bleak', 'pospect', 'at', 'worst']","['brian', 'doherty', 'brexit', 'referendum', 'irelands', 'future', 'bad', 'news', 'via', 'irishtimes', 'uncertainties', 'best', 'bleak', 'pospect', 'worst']","['brian', 'doherty', 'brexit', 'referendum', 'ireland', 'future', 'bad', 'news', 'via', 'irishtimes', 'uncertainty', 'best', 'bleak', 'pospect', 'worst']",brian doherty brexit referendum ireland future bad news via irishtimes uncertainty best bleak pospect worst
